car_age_years,kilometers_driven,engine_cc,mileage_kmpl,service_history_score,previous_owners,market_region,car_brand_segment,listing_platform,fuel_type,car_price
1.9400955200617604,-0.2834553147170625,1.3437221099920782,1.479932316612168,-1.416922529101626,-0.0454641542673335,North,Home Office,Retail,Standard,252.28
0.1009524614535074,-0.2658267990325962,-0.54485584439824,-0.1894172626679433,0.4469416724042631,1.051731112677405,South,Consumer,Distributor,Premium,-45.84
-0.2650382349389481,1.4907550900873805,0.539343261731344,2.4053460710565617,0.4379649530008094,0.3825457441164535,,Consumer,Online,Basic,403.0
1.2807389679679704,0.4535226708636864,-0.1307409746557648,0.0396397259833019,-1.9864240420301835,-0.6388265338556096,North,Consumer,Retail,Basic,8.25
-0.0753032932760362,0.4318647187779004,1.5412141829009314,0.945871904673977,2.044431741636392,0.1621416245797667,West,Corporate,Distributor,Standard,325.89
1.2276697209613547,-0.3710750092682286,-0.2998310434770777,0.1574097754941099,0.5150374431821065,-1.2085858025475795,North,Consumer,Online,Premium,32.86
1.0429372814137476,0.6781391632640948,-0.3556072855355515,-0.2411132377399444,0.3300475169917362,1.2820846831028188,West,Home Office,Online,Basic,64.35
1.329604707494435,0.3690874322397227,-0.6048744036508232,-0.6658590521773448,0.4371760174021388,0.5647852811890353,West,Home Office,Retail,Basic,15.45
-1.258163494344002,-0.9474716177211712,-0.2647231823679232,0.1762965807855909,0.6689743392089071,-1.4065166300527032,West,Home Office,Online,Premium,-121.65
-0.1785267286394898,0.441300272997338,-0.6868530809470091,-0.5357689949277811,-0.3088782011751889,0.3687938650295757,West,Home Office,Online,Basic,-86.66
0.1302893679701869,-0.2317467381336853,-0.3290623223992072,1.1634185880166263,-0.0600274081110402,-0.0528771796166522,West,Consumer,Online,Basic,77.77
2.1443000899159994,1.4963466011470037,-1.6133681274710368,-0.0500029541933125,0.4789088980422334,1.084658981013487,East,Consumer,Online,Basic,141.69
-0.9056562068875278,0.2982802565175407,1.1383602730692148,0.3638172771709648,0.253795069517855,0.4427883429554671,North,Corporate,Distributor,Basic,122.12
0.7342683802941765,0.8231290109162298,0.2944556116380536,-0.7695288997012432,0.0935870112154641,0.0530402667872268,West,Corporate,Distributor,Premium,42.33
1.728947709843503,-0.1095192126344108,0.2768012063698156,2.050722542205282,0.5054391143565746,-0.1035152734948198,West,Home Office,Distributor,Premium,329.11
-0.18164926519642,0.3259911451376409,-0.3718141197749157,-0.7697049040856281,0.0848348437343812,-1.1345653564454308,West,Home Office,Retail,Standard,-90.87
1.432240587554104,0.5004224730089091,-1.1611691909544708,-1.828463510260582,-0.0020887577682866,1.1993012394344074,North,Consumer,Retail,Premium,-160.87
-1.0613904059341872,-0.1296723057778529,2.1879815929531934,0.1447138118737335,-1.0833126238853883,-0.7744154610615608,South,Home Office,Distributor,Standard,62.9
-0.0414996333544034,-0.1815350077756512,-0.1982849095059634,-0.4786578544918743,-0.7677123104713824,-0.1888221183417083,,Consumer,Retail,Basic,-101.05
0.1660807509480363,-1.0895913977742655,-1.0600610457136073,-0.4105969313959633,0.5242260715793552,0.7503179609094887,South,Consumer,Distributor,Standard,-183.54
-0.9148564525758158,2.492647475121205,1.029880400573007,-1.0192730196945412,-1.55809747182739,-0.1403464785041602,West,Home Office,Online,Premium,137.71
-0.7167621054881231,-1.0620391439730816,1.2741061139480017,0.3521366542464339,0.9749577401115112,1.5658314298766751,East,Corporate,Retail,Standard,54.08
0.0938308083627073,-1.9241129307826097,-0.2449860307139056,-0.6763375660125422,-1.4622779414398597,-0.9981608017150736,East,Corporate,Distributor,Basic,-296.21
1.74656218800143,0.6108572156508667,1.0590705570038623,0.8255129849263299,-0.3605854196420626,-0.0061425554312863,North,Consumer,Retail,Basic,288.63
-0.9263910105001276,2.325877647252724,-0.6010641742072458,0.145639711600988,0.4900166392777645,1.150249080997039,South,Home Office,Retail,Basic,157.02
0.4338489405271806,-1.7853692514020345,2.22182514289656,0.3138331350205837,-0.1958607255759143,-0.4873596011268545,East,Corporate,Distributor,Standard,67.17
-0.4611506043090411,1.2668294056928349,0.0319610638972071,0.5370848407532138,-0.4074960822252808,0.8497052256075931,South,Consumer,Online,Standard,96.87
1.2898260608718708,0.8002515293700957,1.3290874368548526,1.8077752809477317,0.2351285350573224,-1.0974570498352518,West,Corporate,Online,Standard,425.01
2.6352927678863414,-0.886359018501309,-0.983687398318686,1.3565838681781417,-0.1452873076819189,-0.0285490128909364,South,Corporate,Distributor,Standard,85.81
-1.8602129966065064,0.3654301854802567,0.1709714213710018,0.393028950577632,1.7290170912574767,-0.2494208217565806,East,Home Office,Online,Basic,57.52
-1.1821908599993225,-0.0547774359511294,0.3841861597092123,-0.3494543256654266,1.768555050722206,0.6474737190812044,North,Home Office,Distributor,Standard,6.41
-0.3669683063015115,-0.2366969255204415,1.6532629463989257,0.42111586252697,-1.507111766164413,0.8745320489198264,East,Consumer,Retail,Standard,70.17
1.2222276977071207,1.17628119227791,-0.2431810951050474,-1.1215508430680976,0.0355414085697164,0.2489723398919402,South,Corporate,Distributor,Standard,59.36
-1.522890394084066,-0.8929744267136316,0.8754932566010962,-1.167976916592313,-0.0331115452879581,0.4418517609624209,,Home Office,Online,Premium,-198.51
-0.5389760154957264,0.904022315929158,1.3743675911422235,-0.3077309021614522,-0.1384085416187868,0.6953811219343795,East,Corporate,Online,Premium,144.77
-1.1562999086154595,0.7329938444400566,0.1979417204910559,0.0708890554981906,-0.1058357060582531,1.311723330832454,North,Corporate,Distributor,Standard,10.41
-0.171225360819052,-0.7845077232576003,-0.309150813998335,1.344046122964613,0.8580213379909978,-0.0541140909016677,West,Consumer,Distributor,Premium,60.87
