applicant_income,coapplicant_income,loan_amount,loan_term_months,credit_score,existing_emi_count,branch_region,employment_type,application_channel,loan_scheme,loan_approved
-1.6335765878580322,-3.102679083481172,-1.3384693427797407,0.7429192238887724,1.2383632741285655,1.194364969136786,West,Consumer,Retail,Standard,1
-1.5154953691756836,-1.922778817953644,-1.585510777936086,0.5340699507529868,-0.0821599837181444,-1.5101357159501998,South,Home Office,Retail,Premium,1
-1.0660966459185115,-2.9133182060556986,-0.0715173358805785,2.09089234905912,-1.4430746451025354,0.9367305834013656,North,Corporate,Retail,Premium,0
-0.5302999134899109,-1.4920665399879467,0.5206342078079282,0.7041104544814056,-0.0958320028951505,1.8247898525814372,East,Consumer,Online,Standard,0
1.4275423315523657,2.1257681472400645,0.8105484716565233,0.2460784309633576,0.9078362734115194,-1.5874781799773383,West,Corporate,Retail,Premium,0
-0.9529925443311198,0.9142566455696922,3.9693451778560833,-0.189725433000373,-1.293587959641987,-0.2242862363657953,South,Home Office,Distributor,Standard,0
-0.1235150360016811,-0.6073165596490073,-0.1647300655745111,0.8735685715798389,-0.6597911715037574,-0.5512188109435671,South,Corporate,Distributor,Standard,1
0.1336173033029276,0.7253202455963187,3.4808187800715804,1.175499424810006,0.3873669345609861,-0.0737098200357235,North,Corporate,Retail,Standard,0
2.195619844941344,1.2516995926274754,0.2691294153910165,1.948494778055541,-0.32448685814791,-1.1338869543768622,West,Home Office,Retail,Standard,0
-0.170099857750867,0.100497732686025,3.715481892971732,1.6581262307995552,1.0204194945396643,0.1393593933363461,West,Home Office,Distributor,Basic,0
0.6905125021136314,2.024017808845625,0.9393649576140246,-0.5108549013202948,1.3515220688823562,-1.6204307015368822,East,Home Office,Online,Premium,0
-0.4764359200179353,-0.8342428626389315,-0.591235020061117,1.0542995855262298,1.117078851546918,-1.6604985159337535,East,Home Office,Online,Premium,1
2.0595903727542657,2.263000668990282,1.7778282735302642,1.4304121727175143,1.1245845088217434,-1.5513968059575154,,Home Office,Distributor,Premium,1
0.4093853774864011,-0.081976882884474,0.3137072289274429,1.7168180216251687,-1.2046979674534126,-1.6782784748980355,East,Home Office,Online,Standard,1
1.5949429930099788,1.178227241230309,0.7989419576681589,1.5029895349509383,-1.1867936412781854,-1.054619638631735,East,Consumer,Online,Premium,0
0.256734532783055,0.5402798641686875,-0.000362806294559,0.6264300263524166,-1.9118011721057968,-1.9784968541754648,East,Corporate,Online,Standard,1
-2.820154726380411,-4.092075879434933,0.6586519894587215,2.61497272523956,,-0.6428173387194127,West,Consumer,Online,Standard,1
-2.0227801093929303,-3.8059038994615526,-1.861075262490788,2.300598630878368,0.4213250322602054,-1.4803538890982928,South,Consumer,Online,Basic,1
-1.2785092428901892,-2.111119572831797,0.6286697743987908,1.286382601949594,0.2428522905593474,0.553682959044833,South,Corporate,Retail,Standard,0
-1.7686106563129194,-2.640328437261341,-1.7603882396802284,1.4213754506529652,1.207898558632594,-2.137956021387692,North,Consumer,Retail,Basic,1
0.7340584497021572,0.2833501130921724,0.6370724321028509,1.4273107870311483,0.7149843885404389,-0.9131648675286834,West,Home Office,Distributor,Standard,1
0.2695143756119893,0.034842862173436,0.0335828590161766,1.5136726499010589,1.909794482689115,-2.262298798156386,South,Corporate,Distributor,Premium,1
0.3425556595260712,1.4036301717723252,1.164579036293346,-0.1837440849526719,1.4265491544102251,-1.2452360028291936,East,Corporate,Distributor,Standard,0
0.9767381100924744,1.0627459824972227,0.5947149442371316,0.7709450127897874,-0.0585319096706726,-1.1537682466001962,East,Corporate,Distributor,Premium,0
-2.432683112237477,-3.3830970885238694,-2.326331236871673,0.5753245762368739,0.2671588502845984,-0.8582223003398839,East,Corporate,Online,Standard,1
-0.949079474803742,-2.8202634734817984,-0.8124102597860713,1.267095314366719,-0.0848209030014168,1.7653741394343974,West,Consumer,Distributor,Standard,1
0.5536157759130007,0.4098409931289546,1.947132392018488,1.4973641217133653,-1.0345097361992277,-0.4304982610829593,East,Consumer,Distributor,Premium,0
0.3356315115497248,1.680058290867986,1.134487997902195,-0.5119605249277377,-0.6907453967906935,-1.4029282720564662,West,Home Office,Retail,Standard,0
0.009863989068986,-0.8473014300904433,-0.0357437459371348,1.9489350214672636,-0.2828573654336618,-1.4892875925027864,East,Home Office,Retail,Basic,1
0.7458711758134289,,1.975109947147784,0.9937163320371182,2.329483265055277,-0.8164803736502152,West,Home Office,Online,Basic,0
-0.805452672144139,-3.478956919519912,-0.7281477915451533,2.8874361152444457,1.3829276735251754,0.8763443533067531,South,Corporate,Online,Standard,1
-1.7750067235313505,-2.802665319776849,-1.738078771186455,1.098526482234568,1.4538664806413737,-1.0801234026849018,North,Corporate,Online,Standard,1
-0.5411095559455461,-1.3997428338603977,-1.7082362874323305,-0.2697622568825395,-1.3883805877891795,1.0054467181261697,East,Home Office,Online,Premium,1
-0.2778884905845639,-2.031399700487696,-1.5929962084152205,1.1904038096477885,-0.5938342833596424,0.6916268628313815,East,Consumer,Retail,Standard,1
1.6515589444763132,0.4305935586045262,-0.8018576905460724,1.783666303310545,0.1107935045207314,-1.1878432104386,North,Consumer,Retail,Premium,0
-1.5634917985093129,,3.466783643237833,0.4163141712743609,-0.201651112847004,2.122928109753904,East,Home Office,Retail,Basic,0
1.5609709658470756,,-0.6515113366411103,0.0902593826187693,0.1479551886518751,-1.933452611063038,West,Home Office,Online,Premium,0
0.2209289856353462,-1.156122252584242,-2.031973206856396,0.0178552884553262,1.0856170944728891,1.4126930266256177,East,Corporate,Online,Premium,1
0.7210127303476798,0.9073688748589974,2.187345068351489,1.2862342686248869,-0.945087193141895,-0.6609737875097281,North,Consumer,Distributor,Standard,0
0.8732695071156269,-1.5136098936951576,-2.584889093847369,0.9043602546297878,-0.5071130124687954,1.7438275498518254,East,Consumer,Distributor,Standard,1
-1.6040268452262807,-2.6004102201495503,-1.512608927132198,1.079357027398553,1.771022905663472,-0.8989615566180487,East,Consumer,Online,Standard,1
1.969787403485797,1.902582902543319,0.0771784189302172,0.847706218725736,0.5645853452759444,-1.5462027861878165,North,Consumer,Distributor,Standard,0
-1.6982530324295466,-2.1986436878604345,2.3786684981018724,1.222113803627734,-3.2779274823827973,1.724496837355499,East,Consumer,Retail,Premium,0
0.0789059286733591,0.2009183396297317,-0.2335677667806377,0.9621309911623724,-0.2819575950248906,-2.4266665413280317,East,Home Office,Retail,Basic,1
2.6577639533756203,2.089004890916793,-1.943742542139884,0.7385216719719087,0.5806954846952096,-2.252522366213664,West,Corporate,Distributor,Standard,0
-0.6087684433008786,-0.7747273070410211,-0.7711031642953703,0.8787914008009146,-0.7060555648592161,-2.0171431678493708,West,Consumer,Online,Premium,1
-1.2799600438899914,-2.05703756740198,-1.276811181714966,0.8377314942116225,1.6059475576875162,-0.7956349087337928,West,Home Office,Distributor,Standard,1
-1.157985221089679,-1.524661699863649,-1.212327646352764,-0.0375854725948479,0.4931931775428638,-0.1539722571682598,North,Consumer,Online,Standard,1
0.1944637256842711,-3.01217220554559,-1.814834533186253,1.883820470300957,-0.2853047050965231,2.9472396863486985,North,Home Office,Retail,Standard,1
1.5253996475715654,0.0833399099680189,-0.1073056563723282,2.288543680478916,0.7593962701015616,-0.8029714964048653,West,Consumer,Distributor,Standard,0
0.1926703049199911,-0.2584247304277708,0.0662435932377738,1.6915753352784475,0.2715504001089113,-1.984301293875132,West,Home Office,Retail,Standard,1
-3.6132175021113535,-5.451622561665733,2.410616922207833,2.067119384895255,0.1290003545953016,3.883004277438845,North,Corporate,Retail,Premium,0
1.1914971869587807,1.8350034971616744,0.093407409365031,0.0074710483399745,-0.1819501292255268,-1.7383040364800468,South,Home Office,Distributor,Standard,0
-1.8516033396209328,-0.2475630987941101,-0.8925446379123764,-1.454708683224156,-0.0788677370175536,-2.274919767054248,South,Consumer,Retail,Basic,1
-0.5181641471565788,-0.8825573211973999,-0.5802146377935522,0.7038153884165883,0.0493854659699372,-0.9561476439799927,West,Corporate,Retail,Basic,1
-1.526790495956448,-2.8627205399329525,-0.482295373992805,0.6480161630145673,1.1568228337725506,1.9373950901625676,East,Consumer,Distributor,Standard,1
-1.7676002067156773,-2.2235262084769216,-1.94884658650343,0.8816837791218983,1.5587014207041738,-2.415291147308581,West,Corporate,Distributor,Standard,1
